dataset,variant,tau_m,tau_c,class,precision,recall,f1,support,accuracy
arct,original,0.5,80,0,0.515,0.9363636363636364,0.6645161290322581,110,0.5272727272727272
arct,original,0.5,80,1,0.65,0.11818181818181818,0.19999999999999998,110,0.5272727272727272
arct,original,0.5,90,0,0.5178571428571429,0.9586776859504132,0.6724637681159421,121,0.5330578512396694
arct,original,0.5,90,1,0.7222222222222222,0.10743801652892562,0.18705035971223022,121,0.5330578512396694
arct,original,0.5,100,0,0.49825783972125437,0.9533333333333334,0.6544622425629291,150,0.49666666666666665
arct,original,0.5,100,1,0.46153846153846156,0.04,0.07361963190184048,150,0.49666666666666665
arct,original,0.55,80,0,0.5093457943925234,0.9083333333333333,0.6526946107784432,120,0.5166666666666667
arct,original,0.55,80,1,0.5769230769230769,0.125,0.2054794520547945,120,0.5166666666666667
arct,original,0.55,90,0,0.5126050420168067,0.9312977099236641,0.6612466124661246,131,0.5229007633587787
arct,original,0.55,90,1,0.625,0.11450381679389313,0.1935483870967742,131,0.5229007633587787
arct,original,0.55,100,0,0.49823321554770317,0.94,0.651270207852194,150,0.49666666666666665
arct,original,0.55,100,1,0.47058823529411764,0.05333333333333334,0.09580838323353294,150,0.49666666666666665
arct,original,0.6,80,0,0.5055762081784386,0.9251700680272109,0.6538461538461539,147,0.5102040816326531
arct,original,0.6,80,1,0.56,0.09523809523809523,0.16279069767441862,147,0.5102040816326531
arct,original,0.6,90,0,0.509090909090909,0.9333333333333333,0.6588235294117647,150,0.5166666666666667
arct,original,0.6,90,1,0.6,0.1,0.17142857142857143,150,0.5166666666666667
arct,original,0.6,100,0,0.5035211267605634,0.9533333333333334,0.6589861751152074,150,0.5066666666666667
arct,original,0.6,100,1,0.5625,0.06,0.10843373493975904,150,0.5066666666666667
arct,original,0.65,80,0,0.5034965034965035,0.96,0.6605504587155964,150,0.5066666666666667
arct,original,0.65,80,1,0.5714285714285714,0.05333333333333334,0.0975609756097561,150,0.5066666666666667
arct,original,0.65,90,0,0.5017421602787456,0.96,0.6590389016018307,150,0.5033333333333333
arct,original,0.65,90,1,0.5384615384615384,0.04666666666666667,0.08588957055214724,150,0.5033333333333333
arct,original,0.65,100,0,0.5017301038062284,0.9666666666666667,0.6605922551252847,150,0.5033333333333333
arct,original,0.65,100,1,0.5454545454545454,0.04,0.07453416149068322,150,0.5033333333333333
arct,original,0.7,80,0,0.5068027210884354,0.9933333333333333,0.6711711711711712,150,0.5133333333333333
arct,original,0.7,80,1,0.8333333333333334,0.03333333333333333,0.06410256410256411,150,0.5133333333333333
arct,original,0.7,90,0,0.5084745762711864,1.0,0.6741573033707865,150,0.5166666666666667
arct,original,0.7,90,1,1.0,0.03333333333333333,0.06451612903225806,150,0.5166666666666667
arct,original,0.7,100,0,0.5016949152542373,0.9866666666666667,0.6651685393258426,150,0.5033333333333333
arct,original,0.7,100,1,0.6,0.02,0.03870967741935484,150,0.5033333333333333
arct,original,0.75,80,0,0.5067567567567568,1.0,0.672645739910314,150,0.5133333333333333
arct,original,0.75,80,1,1.0,0.02666666666666667,0.05194805194805195,150,0.5133333333333333
arct,original,0.75,90,0,0.5067567567567568,1.0,0.672645739910314,150,0.5133333333333333
arct,original,0.75,90,1,1.0,0.02666666666666667,0.05194805194805195,150,0.5133333333333333
arct,original,0.75,100,0,0.4983277591973244,0.9933333333333333,0.6636971046770601,150,0.49666666666666665
arct,original,0.75,100,1,0.0,0.0,0.0,150,0.49666666666666665
arct,original,0.8,80,0,0.5,1.0,0.6666666666666666,150,0.5
arct,original,0.8,80,1,0.0,0.0,0.0,150,0.5
arct,original,0.8,90,0,0.5,1.0,0.6666666666666666,150,0.5
arct,original,0.8,90,1,0.0,0.0,0.0,150,0.5
arct,original,0.8,100,0,0.5,1.0,0.6666666666666666,150,0.5
arct,original,0.8,100,1,0.0,0.0,0.0,150,0.5
arct,one,0.5,80,0,0.5495867768595041,0.8866666666666667,0.6785714285714286,150,0.58
arct,one,0.5,80,1,0.7068965517241379,0.2733333333333333,0.3942307692307692,150,0.58
arct,one,0.5,90,0,0.5588235294117647,0.8866666666666667,0.6855670103092784,150,0.5933333333333334
arct,one,0.5,90,1,0.7258064516129032,0.3,0.4245283018867924,150,0.5933333333333334
arct,one,0.5,100,0,0.5313653136531366,0.96,0.6840855106888362,150,0.5566666666666666
arct,one,0.5,100,1,0.7931034482758621,0.15333333333333332,0.2569832402234637,150,0.5566666666666666
arct,one,0.55,80,0,0.5531914893617021,0.8666666666666667,0.6753246753246753,150,0.5833333333333334
arct,one,0.55,80,1,0.6923076923076923,0.3,0.41860465116279066,150,0.5833333333333334
arct,one,0.55,90,0,0.5598290598290598,0.8733333333333333,0.6822916666666666,150,0.5933333333333334
arct,one,0.55,90,1,0.7121212121212122,0.31333333333333335,0.43518518518518523,150,0.5933333333333334
arct,one,0.55,100,0,0.532319391634981,0.9333333333333333,0.6779661016949153,150,0.5566666666666666
arct,one,0.55,100,1,0.7297297297297297,0.18,0.2887700534759358,150,0.5566666666666666
arct,one,0.6,80,0,0.5617021276595745,0.88,0.6857142857142857,150,0.5966666666666667
arct,one,0.6,80,1,0.7230769230769231,0.31333333333333335,0.43720930232558136,150,0.5966666666666667
arct,one,0.6,90,0,0.5683760683760684,0.8866666666666667,0.6927083333333334,150,0.6066666666666667
arct,one,0.6,90,1,0.7424242424242424,0.32666666666666666,0.4537037037037037,150,0.6066666666666667
arct,one,0.6,100,0,0.531496062992126,0.9,0.6683168316831684,150,0.5533333333333333
arct,one,0.6,100,1,0.6739130434782609,0.20666666666666667,0.3163265306122449,150,0.5533333333333333
arct,one,0.65,80,0,0.5655737704918032,0.92,0.7005076142131978,150,0.6066666666666667
arct,one,0.65,80,1,0.7857142857142857,0.29333333333333333,0.42718446601941745,150,0.6066666666666667
arct,one,0.65,90,0,0.5761316872427984,0.9333333333333333,0.712468193384224,150,0.6233333333333333
arct,one,0.65,90,1,0.8245614035087719,0.31333333333333335,0.4541062801932368,150,0.6233333333333333
arct,one,0.65,100,0,0.5384615384615384,0.9333333333333333,0.6829268292682926,150,0.5666666666666667
arct,one,0.65,100,1,0.75,0.2,0.31578947368421056,150,0.5666666666666667
arct,one,0.7,80,0,0.5625,0.96,0.7093596059113301,150,0.6066666666666667
arct,one,0.7,80,1,0.8636363636363636,0.25333333333333335,0.3917525773195877,150,0.6066666666666667
arct,one,0.7,90,0,0.5708661417322834,0.9666666666666667,0.7178217821782178,150,0.62
arct,one,0.7,90,1,0.8913043478260869,0.2733333333333333,0.4183673469387755,150,0.62
arct,one,0.7,100,0,0.5413533834586466,0.96,0.6923076923076922,150,0.5733333333333334
arct,one,0.7,100,1,0.8235294117647058,0.18666666666666668,0.3043478260869565,150,0.5733333333333334
arct,one,0.75,80,0,0.5410447761194029,0.9666666666666667,0.69377990430622,150,0.5733333333333334
arct,one,0.75,80,1,0.84375,0.18,0.2967032967032967,150,0.5733333333333334
arct,one,0.75,90,0,0.5444444444444444,0.98,0.7,150,0.58
arct,one,0.75,90,1,0.9,0.18,0.3,150,0.58
arct,one,0.75,100,0,0.5212765957446809,0.98,0.6805555555555556,150,0.54
arct,one,0.75,100,1,0.8333333333333334,0.1,0.17857142857142858,150,0.54
arct,one,0.8,80,0,0.525,0.98,0.6837209302325581,150,0.5466666666666666
arct,one,0.8,80,1,0.85,0.11333333333333333,0.2,150,0.5466666666666666
arct,one,0.8,90,0,0.524822695035461,0.9866666666666667,0.6851851851851852,150,0.5466666666666666
arct,one,0.8,90,1,0.8888888888888888,0.10666666666666667,0.19047619047619047,150,0.5466666666666666
arct,one,0.8,100,0,0.5085910652920962,0.9866666666666667,0.671201814058957,150,0.5166666666666667
arct,one,0.8,100,1,0.7777777777777778,0.04666666666666667,0.08805031446540881,150,0.5166666666666667
arct,two,0.5,80,0,0.5555555555555556,0.8482142857142857,0.6713780918727914,112,0.5848214285714286
arct,two,0.5,80,1,0.6792452830188679,0.32142857142857145,0.43636363636363634,112,0.5848214285714286
arct,two,0.5,90,0,0.5652173913043478,0.859504132231405,0.681967213114754,121,0.5991735537190083
arct,two,0.5,90,1,0.7068965517241379,0.33884297520661155,0.4581005586592179,121,0.5991735537190083
arct,two,0.5,100,0,0.5220588235294118,0.9466666666666667,0.6729857819905214,150,0.54
arct,two,0.5,100,1,0.7142857142857143,0.13333333333333333,0.2247191011235955,150,0.54
arct,two,0.55,80,0,0.5617977528089888,0.8403361344537815,0.6734006734006734,119,0.592436974789916
arct,two,0.55,80,1,0.6833333333333333,0.3445378151260504,0.4581005586592179,119,0.592436974789916
arct,two,0.55,90,0,0.5706806282722513,0.8449612403100775,0.68125,129,0.6046511627906976
arct,two,0.55,90,1,0.7014925373134329,0.3643410852713178,0.4795918367346939,129,0.6046511627906976
arct,two,0.55,100,0,0.5193798449612403,0.8933333333333333,0.6568627450980392,150,0.5333333333333333
arct,two,0.55,100,1,0.6190476190476191,0.17333333333333334,0.27083333333333337,150,0.5333333333333333
arct,two,0.6,80,0,0.5714285714285714,0.821917808219178,0.6741573033707865,146,0.6027397260273972
arct,two,0.6,80,1,0.6829268292682927,0.3835616438356164,0.4912280701754387,146,0.6027397260273972
arct,two,0.6,90,0,0.5841121495327103,0.8333333333333334,0.6868131868131868,150,0.62
arct,two,0.6,90,1,0.7093023255813954,0.4066666666666667,0.516949152542373,150,0.62
arct,two,0.6,100,0,0.5439330543933054,0.8666666666666667,0.6683804627249358,150,0.57
arct,two,0.6,100,1,0.6721311475409836,0.2733333333333333,0.38862559241706157,150,0.57
arct,two,0.65,80,0,0.5758928571428571,0.86,0.6898395721925134,150,0.6133333333333333
arct,two,0.65,80,1,0.7236842105263158,0.36666666666666664,0.4867256637168142,150,0.6133333333333333
arct,two,0.65,90,0,0.5829596412556054,0.8666666666666667,0.6970509383378017,150,0.6233333333333333
arct,two,0.65,90,1,0.7402597402597403,0.38,0.5022026431718062,150,0.6233333333333333
arct,two,0.65,100,0,0.55,0.88,0.676923076923077,150,0.58
arct,two,0.65,100,1,0.7,0.28,0.4,150,0.58
