dataset,variant,tau_m,tau_c,accuracy,support,counted_rows,skipped_invalid,skipped_ent,skipped_both,exceptions,elapsed_sec
arct,original,0.5,80,0.5272727272727272,220,110,0,128,2,49,4.499
arct,original,0.5,90,0.5330578512396694,242,121,0,125,2,41,4.825
arct,original,0.5,100,0.49666666666666665,300,150,0,103,1,4,3.972
arct,original,0.55,80,0.5166666666666667,240,120,0,118,2,49,4.565
arct,original,0.55,90,0.5229007633587787,262,131,0,115,2,41,4.775
arct,original,0.55,100,0.49666666666666665,300,150,0,73,1,3,3.659
arct,original,0.6,80,0.5102040816326531,294,147,0,95,2,45,4.918
arct,original,0.6,90,0.5166666666666667,300,150,0,81,1,32,4.249
arct,original,0.6,100,0.5066666666666667,300,150,0,44,1,2,3.748
arct,original,0.65,80,0.5066666666666667,300,150,0,65,1,29,4.211
arct,original,0.65,90,0.5033333333333333,300,150,0,57,1,23,4.597
arct,original,0.65,100,0.5033333333333333,300,150,0,24,1,1,3.769
arct,original,0.7,80,0.5133333333333333,300,150,0,49,1,19,3.972
arct,original,0.7,90,0.5166666666666667,300,150,0,38,1,15,4.056
arct,original,0.7,100,0.5033333333333333,300,150,0,13,1,0,3.922
arct,original,0.75,80,0.5133333333333333,300,150,0,31,1,4,3.707
arct,original,0.75,90,0.5133333333333333,300,150,0,27,1,4,3.579
arct,original,0.75,100,0.49666666666666665,300,150,0,11,1,0,3.671
arct,original,0.8,80,0.5,300,150,0,18,1,1,3.529
arct,original,0.8,90,0.5,300,150,0,17,1,1,2.968
arct,original,0.8,100,0.5,300,150,0,6,1,0,3.983
arct,one,0.5,80,0.58,300,150,0,189,2,64,6.314
arct,one,0.5,90,0.5933333333333334,300,150,0,136,2,43,5.233
arct,one,0.5,100,0.5566666666666666,300,150,0,80,1,1,4.247
arct,one,0.55,80,0.5833333333333334,300,150,0,165,2,61,6.325
arct,one,0.55,90,0.5933333333333334,300,150,0,113,1,39,4.105
arct,one,0.55,100,0.5566666666666666,300,150,0,70,1,1,3.252
arct,one,0.6,80,0.5966666666666667,300,150,0,91,1,42,5.148
arct,one,0.6,90,0.6066666666666667,300,150,0,75,1,26,5.157
arct,one,0.6,100,0.5533333333333333,300,150,0,44,1,1,3.576
arct,one,0.65,80,0.6066666666666667,300,150,0,62,1,33,4.42
arct,one,0.65,90,0.6233333333333333,300,150,0,51,1,15,4.067
arct,one,0.65,100,0.5666666666666667,300,150,0,24,1,0,3.245
arct,one,0.7,80,0.6066666666666667,300,150,0,50,1,21,3.766
arct,one,0.7,90,0.62,300,150,0,43,1,9,3.524
arct,one,0.7,100,0.5733333333333334,300,150,0,14,1,0,3.058
arct,one,0.75,80,0.5733333333333334,300,150,0,36,1,9,3.246
arct,one,0.75,90,0.58,300,150,0,31,1,5,3.166
arct,one,0.75,100,0.54,300,150,0,11,1,0,3.131
arct,one,0.8,80,0.5466666666666666,300,150,0,22,1,5,3.54
arct,one,0.8,90,0.5466666666666666,300,150,0,17,1,2,3.609
arct,one,0.8,100,0.5166666666666667,300,150,0,8,1,0,3.202
arct,two,0.5,80,0.5848214285714286,224,112,0,128,4,45,4.233
arct,two,0.5,90,0.5991735537190083,242,121,0,125,4,39,5.365
arct,two,0.5,100,0.54,300,150,0,103,2,3,4.591
arct,two,0.55,80,0.592436974789916,238,119,0,118,4,48,5.073
arct,two,0.55,90,0.6046511627906976,258,129,0,115,4,41,4.281
arct,two,0.55,100,0.5333333333333333,300,150,0,73,1,2,3.949
arct,two,0.6,80,0.6027397260273972,292,146,0,95,4,44,4.819
arct,two,0.6,90,0.62,300,150,0,82,3,35,4.676
arct,two,0.6,100,0.57,300,150,0,44,1,1,3.779
arct,two,0.65,80,0.6133333333333333,300,150,0,70,3,41,4.35
arct,two,0.65,90,0.6233333333333333,300,150,0,60,2,31,4.282
arct,two,0.65,100,0.58,300,150,0,24,1,1,3.497
arct,two,0.7,80,0.6066666666666667,300,150,0,51,4,20,4.464
arct,two,0.7,90,0.6133333333333333,300,150,0,38,4,19,3.534
arct,two,0.7,100,0.5766666666666667,300,150,0,13,3,0,3.39
arct,two,0.75,80,0.6,300,150,0,36,4,7,3.99
arct,two,0.75,90,0.6,300,150,0,27,4,6,3.546
arct,two,0.75,100,0.5633333333333334,300,150,0,11,3,0,3.06
